Código Instit.;Código Curso;Nome da Instituição;Nome do Curso
1306;L150;Universidade da Madeira - Faculdade de Artes e Humanidades;Estudos de Cultura
1307;9015;Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia;Bioquímica
1307;9089;Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia;Engenharia Civil
1307;9107;Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia;Engenharia Electrónica e Telecomunicações
1307;9119;Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia;Engenharia Informática
1307;A012;Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia;Matemática (ensino em inglês)
1308;9026;Universidade da Madeira - Faculdade de Ciências Sociais;Ciências da Educação
1308;9081;Universidade da Madeira - Faculdade de Ciências Sociais;Economia
1308;9147;Universidade da Madeira - Faculdade de Ciências Sociais;Gestão
1308;9736;Universidade da Madeira - Faculdade de Ciências Sociais;Educação Física e Desporto
1308;9853;Universidade da Madeira - Faculdade de Ciências Sociais;Educação Básica
1309;8083;Universidade da Madeira - Faculdade de Ciências da Vida;Ciclo Básico de Medicina
1309;9011;Universidade da Madeira - Faculdade de Ciências da Vida;Biologia
1320;9500;Universidade da Madeira - Escola Superior de Saúde;Enfermagem
1321;9076;Universidade da Madeira - Escola Superior de Tecnologias e Gestão;Direção e Gestão Hoteleira
1501;9069;Universidade de Lisboa - Faculdade de Arquitetura;Design
1501;9071;Universidade de Lisboa - Faculdade de Arquitetura;Design de Moda
1501;9257;Universidade de Lisboa - Faculdade de Arquitetura;Arquitetura
1501;G008;Universidade de Lisboa - Faculdade de Arquitetura;Arquitectura, área de especializ. em Interiores e Reabilitação do Edificado
1502;8399;Universidade de Lisboa - Faculdade de Belas-Artes;Desenho
1502;9070;Universidade de Lisboa - Faculdade de Belas-Artes;Design de Comunicação
1502;9072;Universidade de Lisboa - Faculdade de Belas-Artes;Design de Equipamento
1502;9754;Universidade de Lisboa - Faculdade de Belas-Artes;Escultura
1502;9790;Universidade de Lisboa - Faculdade de Belas-Artes;Pintura
1502;9904;Universidade de Lisboa - Faculdade de Belas-Artes;Arte Multimédia
1502;L010;Universidade de Lisboa - Faculdade de Belas-Artes;Ciências da Arte e do Património
1503;9011;Universidade de Lisboa - Faculdade de Ciências;Biologia
1503;9015;Universidade de Lisboa - Faculdade de Ciências;Bioquímica
1503;9119;Universidade de Lisboa - Faculdade de Ciências;Engenharia Informática
1503;9141;Universidade de Lisboa - Faculdade de Ciências;Física
1503;9146;Universidade de Lisboa - Faculdade de Ciências;Geologia
1503;9209;Universidade de Lisboa - Faculdade de Ciências;Matemática
1503;9212;Universidade de Lisboa - Faculdade de Ciências;Meteorologia, Oceanografia e Geofísica
1503;9223;Universidade de Lisboa - Faculdade de Ciências;Química
1503;9226;Universidade de Lisboa - Faculdade de Ciências;Química Tecnológica
1503;9368;Universidade de Lisboa - Faculdade de Ciências;Engenharia Física
1503;9381;Universidade de Lisboa - Faculdade de Ciências;Estatística Aplicada
1503;9385;Universidade de Lisboa - Faculdade de Ciências;Matemática Aplicada
1503;9811;Universidade de Lisboa - Faculdade de Ciências;Engenharia da Energia e do Ambiente
1503;9845;Universidade de Lisboa - Faculdade de Ciências;Engenharia Biomédica e Biofísica
1503;L079;Universidade de Lisboa - Faculdade de Ciências;Tecnologias de Informação
1503;L096;Universidade de Lisboa - Faculdade de Ciências;Engenharia Geoespacial
1504;8358;Universidade de Lisboa - Faculdade de Direito;Direito (regime pós-laboral)
1504;9078;Universidade de Lisboa - Faculdade de Direito;Direito
1505;9494;Universidade de Lisboa - Faculdade de Farmácia;Ciências Farmacêuticas
1506;8104;Universidade de Lisboa - Faculdade de Letras;Estudos Artísticos, variante de Artes do Espetáculo
1506;8413;Universidade de Lisboa - Faculdade de Letras;Artes e Humanidades
1506;8458;Universidade de Lisboa - Faculdade de Letras;Estudos Gerais
1506;9006;Universidade de Lisboa - Faculdade de Letras;Arqueologia
1506;9040;Universidade de Lisboa - Faculdade de Letras;Ciências da Linguagem
1506;9131;Universidade de Lisboa - Faculdade de Letras;Estudos Africanos
1506;9133;Universidade de Lisboa - Faculdade de Letras;Estudos Clássicos
1506;9135;Universidade de Lisboa - Faculdade de Letras;Estudos Europeus
1506;9139;Universidade de Lisboa - Faculdade de Letras;Filosofia
1506;9181;Universidade de Lisboa - Faculdade de Letras;História
1506;9182;Universidade de Lisboa - Faculdade de Letras;História da Arte
1506;9204;Universidade de Lisboa - Faculdade de Letras;Línguas, Literaturas e Culturas
1506;9252;Universidade de Lisboa - Faculdade de Letras;Tradução
1506;9914;Universidade de Lisboa - Faculdade de Letras;Estudos Asiáticos
1506;9917;Universidade de Lisboa - Faculdade de Letras;Estudos Portugueses
1506;L097;Universidade de Lisboa - Faculdade de Letras;Estudos Comparatistas
1506;L145;Universidade de Lisboa - Faculdade de Letras;Estudos de Cultura e Comunicação
1507;9554;Universidade de Lisboa - Faculdade de Medicina;Ciências da Nutrição
1507;9813;Universidade de Lisboa - Faculdade de Medicina;Medicina
1508;9548;Universidade de Lisboa - Faculdade de Medicina Dentária;Medicina Dentária
1508;9556;Universidade de Lisboa - Faculdade de Medicina Dentária;Higiene Oral
1508;9791;Universidade de Lisboa - Faculdade de Medicina Dentária;Prótese Dentária
1509;9847;Universidade de Lisboa - Faculdade de Medicina Veterinária;Medicina Veterinária
1510;9068;Universidade de Lisboa - Faculdade de Motricidade Humana;Dança
1510;9162;Universidade de Lisboa - Faculdade de Motricidade Humana;Gestão do Desporto
1510;9707;Universidade de Lisboa - Faculdade de Motricidade Humana;Ciências do Desporto
1510;9841;Universidade de Lisboa - Faculdade de Motricidade Humana;Reabilitação Psicomotora
1511;9555;Universidade de Lisboa - Faculdade de Psicologia;Psicologia
1513;L040;Universidade de Lisboa - Instituto de Educação;Educação e Formação
1514;8411;Universidade de Lisboa - Instituto de Geografia e Ordenamento do Território;Planeamento e Gestão do Território
1514;9143;Universidade de Lisboa - Instituto de Geografia e Ordenamento do Território;Geografia
1515;8258;Universidade de Lisboa - Instituto Superior de Agronomia;Arquitetura Paisagista
1515;8377;Universidade de Lisboa - Instituto Superior de Agronomia;Engenharia Florestal e dos Recursos Naturais
1515;9011;Universidade de Lisboa - Instituto Superior de Agronomia;Biologia
1515;9086;Universidade de Lisboa - Instituto Superior de Agronomia;Engenharia Agronómica
1515;9087;Universidade de Lisboa - Instituto Superior de Agronomia;Engenharia Alimentar
1515;9099;Universidade de Lisboa - Instituto Superior de Agronomia;Engenharia do Ambiente
1515;9129;Universidade de Lisboa - Instituto Superior de Agronomia;Engenharia Zootécnica
1516;8014;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Serviço Social (regime pós-laboral)
1516;8102;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Administração Pública (regime pós-laboral)
1516;8109;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Sociologia (regime pós-laboral)
1516;8111;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Gestão de Recursos Humanos (regime pós-laboral)
1516;8363;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Administração Pública e Políticas do Território (regime pós-laboral)
1516;8364;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Relações Internacionais (regime pós-laboral)
1516;9002;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Administração Pública
1516;9019;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Ciência Política
1516;9023;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Ciências da Comunicação
1516;9157;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Gestão de Recursos Humanos
1516;9229;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Relações Internacionais
1516;9238;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Serviço Social
1516;9240;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Sociologia
1516;9448;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Antropologia
1517;9081;Universidade de Lisboa - Instituto Superior de Economia e Gestão;Economia
1517;9147;Universidade de Lisboa - Instituto Superior de Economia e Gestão;Gestão
1517;9210;Universidade de Lisboa - Instituto Superior de Economia e Gestão;Matemática Aplicada à Economia e à Gestão
1517;A001;Universidade de Lisboa - Instituto Superior de Economia e Gestão;Gestão (ensino em Inglês)
1517;A006;Universidade de Lisboa - Instituto Superior de Economia e Gestão;Economia (ensino em Inglês)
1517;A013;Universidade de Lisboa - Instituto Superior de Economia e Gestão;Finanças (ensino em inglês)
1518;9121;Universidade de Lisboa - Instituto Superior Técnico;Engenharia Informática e de Computadores
1518;9257;Universidade de Lisboa - Instituto Superior Técnico;Arquitetura
1518;9345;Universidade de Lisboa - Instituto Superior Técnico;Matemática Aplicada e Computação
1518;9357;Universidade de Lisboa - Instituto Superior Técnico;Engenharia Aeroespacial
1518;9358;Universidade de Lisboa - Instituto Superior Técnico;Engenharia Biológica
1518;9359;Universidade de Lisboa - Instituto Superior Técnico;Engenharia Biomédica
1518;9360;Universidade de Lisboa - Instituto Superior Técnico;Engenharia Civil
1518;9363;Universidade de Lisboa - Instituto Superior Técnico;Engenharia de Materiais
1518;9367;Universidade de Lisboa - Instituto Superior Técnico;Engenharia Eletrotécnica e de Computadores
1518;9369;Universidade de Lisboa - Instituto Superior Técnico;Engenharia Mecânica
1518;9458;Universidade de Lisboa - Instituto Superior Técnico;Engenharia Física Tecnológica
1518;9461;Universidade de Lisboa - Instituto Superior Técnico;Engenharia Química
1518;9508;Universidade de Lisboa - Instituto Superior Técnico;Engenharia do Ambiente
1518;9913;Universidade de Lisboa - Instituto Superior Técnico;Engenharia Geológica e de Minas
1518;L162;Universidade de Lisboa - Instituto Superior Técnico;Engenharia Naval e Oceânica
1519;9098;Universidade de Lisboa - Instituto Superior Técnico (Tagus Park);Engenharia de Telecomunicações e Informática
1519;9104;Universidade de Lisboa - Instituto Superior Técnico (Tagus Park);Engenharia e Gestão Industrial
1519;9121;Universidade de Lisboa - Instituto Superior Técnico (Tagus Park);Engenharia Informática e de Computadores
1519;9912;Universidade de Lisboa - Instituto Superior Técnico (Tagus Park);Engenharia Eletrónica
3011;8005;Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro;Marketing (regime pós-laboral)
3011;8449;Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro;Contabilidade (regime de ensino a distância)
3011;9056;Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro;Contabilidade
3011;9140;Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro;Finanças
3011;9205;Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro;Marketing
3011;9869;Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro;Contabilidade (regime pós-laboral)
3011;9888;Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro;Finanças (regime pós-laboral)
3012;8016;Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda;Tecnologias da Informação
3012;8405;Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda;Gestão da Qualidade
3012;9109;Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda;Engenharia Eletrotécnica
3012;9235;Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda;Secretariado e Comunicação Empresarial
3012;9769;Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda;Gestão Pública e Autárquica
3012;L021;Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda;Gestão Comercial
3013;9500;Universidade de Aveiro - Escola Superior de Saúde de Aveiro;Enfermagem
3013;9504;Universidade de Aveiro - Escola Superior de Saúde de Aveiro;Fisioterapia
3013;9890;Universidade de Aveiro - Escola Superior de Saúde de Aveiro;Terapia da Fala
3013;L066;Universidade de Aveiro - Escola Superior de Saúde de Aveiro;Imagem Médica e Radioterapia
3014;L135;Universidade de Aveiro - Escola Superior de Design, Gestão e Tecnologia da Produção de Aveiro-Norte;Tecnologia e Sistemas de Produção
3014;L138;Universidade de Aveiro - Escola Superior de Design, Gestão e Tecnologia da Produção de Aveiro-Norte;Design de Produto e Tecnologia
3021;9003;Instituto Politécnico de Beja - Escola Superior Agrária;Agronomia
3021;9099;Instituto Politécnico de Beja - Escola Superior Agrária;Engenharia do Ambiente
3021;9350;Instituto Politécnico de Beja - Escola Superior Agrária;Ciência e Tecnologia dos Alimentos
3021;L157;Instituto Politécnico de Beja - Escola Superior Agrária;Tecnologias Bioanalíticas
3022;9010;Instituto Politécnico de Beja - Escola Superior de Educação;Audiovisual e Multimédia
3022;9238;Instituto Politécnico de Beja - Escola Superior de Educação;Serviço Social
3022;9563;Instituto Politécnico de Beja - Escola Superior de Educação;Desporto
3022;9853;Instituto Politécnico de Beja - Escola Superior de Educação;Educação Básica
3023;8437;Instituto Politécnico de Beja - Escola Superior de Tecnologia e de Gestão;Solicitadoria (regime de ensino a distância)
3023;9119;Instituto Politécnico de Beja - Escola Superior de Tecnologia e de Gestão;Engenharia Informática
3023;9152;Instituto Politécnico de Beja - Escola Superior de Tecnologia e de Gestão;Gestão de Empresas
3023;9242;Instituto Politécnico de Beja - Escola Superior de Tecnologia e de Gestão;Solicitadoria
3023;9254;Instituto Politécnico de Beja - Escola Superior de Tecnologia e de Gestão;Turismo
3023;9994;Instituto Politécnico de Beja - Escola Superior de Tecnologia e de Gestão;Gestão de Empresas (regime pós-laboral)
3031;8015;Instituto Politécnico do Cávado e do Ave - Escola Superior de Gestão;Solicitadoria (regime pós-laboral)
3031;8402;Instituto Politécnico do Cávado e do Ave - Escola Superior de Gestão;Gestão Pública (regime de ensino a distância)
3031;9056;Instituto Politécnico do Cávado e do Ave - Escola Superior de Gestão;Contabilidade
3031;9140;Instituto Politécnico do Cávado e do Ave - Escola Superior de Gestão;Finanças
3031;9152;Instituto Politécnico do Cávado e do Ave - Escola Superior de Gestão;Gestão de Empresas
3031;9242;Instituto Politécnico do Cávado e do Ave - Escola Superior de Gestão;Solicitadoria
3031;9759;Instituto Politécnico do Cávado e do Ave - Escola Superior de Gestão;Fiscalidade
3031;9869;Instituto Politécnico do Cávado e do Ave - Escola Superior de Gestão;Contabilidade (regime pós-laboral)
3031;9990;Instituto Politécnico do Cávado e do Ave - Escola Superior de Gestão;Fiscalidade (regime pós-laboral)
3031;9994;Instituto Politécnico do Cávado e do Ave - Escola Superior de Gestão;Gestão de Empresas (regime pós-laboral)
3031;L140;Instituto Politécnico do Cávado e do Ave - Escola Superior de Gestão;Gestão Pública
3032;8311;Instituto Politécnico do Cávado e do Ave - Escola Superior de Tecnologia;Engenharia em Desenvolvimento de Jogos Digitais
3032;8409;Instituto Politécnico do Cávado e do Ave - Escola Superior de Tecnologia;Engenharia de Sistemas Informáticos
3032;8417;Instituto Politécnico do Cávado e do Ave - Escola Superior de Tecnologia;Engenharia de Sistemas Informáticos (regime pós-laboral)
3032;9104;Instituto Politécnico do Cávado e do Ave - Escola Superior de Tecnologia;Engenharia e Gestão Industrial
3032;9112;Instituto Politécnico do Cávado e do Ave - Escola Superior de Tecnologia;Engenharia Eletrotécnica e de Computadores
3032;L181;Instituto Politécnico do Cávado e do Ave - Escola Superior de Tecnologia;Engenharia Informática Médica
3033;9074;Instituto Politécnico do Cávado e do Ave - Escola Superior de Design;Design Industrial
3033;9470;Instituto Politécnico do Cávado e do Ave - Escola Superior de Design;Design Gráfico
3033;9873;Instituto Politécnico do Cávado e do Ave - Escola Superior de Design;Design Gráfico (regime pós-laboral)
3034;8156;Instituto Politécnico do Cávado e do Ave - Escola Superior de Hotelaria e Turismo;Gestão de Atividades Turísticas
3034;8341;Instituto Politécnico do Cávado e do Ave - Escola Superior de Hotelaria e Turismo;Gestão de Atividades Turísticas (regime pós-laboral)
3041;9085;Instituto Politécnico de Bragança - Escola Superior Agrária de Bragança;Enfermagem Veterinária
3041;9086;Instituto Politécnico de Bragança - Escola Superior Agrária de Bragança;Engenharia Agronómica
3041;9087;Instituto Politécnico de Bragança - Escola Superior Agrária de Bragança;Engenharia Alimentar
3041;9099;Instituto Politécnico de Bragança - Escola Superior Agrária de Bragança;Engenharia do Ambiente
3041;9129;Instituto Politécnico de Bragança - Escola Superior Agrária de Bragança;Engenharia Zootécnica
3041;L029;Instituto Politécnico de Bragança - Escola Superior Agrária de Bragança;Biologia e Biotecnologia
3042;8323;Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança;Línguas Estrangeiras: Inglês e Espanhol
3042;8374;Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança;Línguas para Relações Internacionais
3042;9082;Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança;Educação Ambiental
3042;9084;Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança;Educação Social
3042;9563;Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança;Desporto
3042;9853;Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança;Educação Básica
3042;9898;Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança;Arte e Design
3042;9933;Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança;Animação e Produção Artística
3042;L088;Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança;Relações Lusófonas e Língua Portuguesa
3042;L175;Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança;Música em Contextos Comunitários
3043;9056;Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança;Contabilidade
3043;9089;Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança;Engenharia Civil
3043;9112;Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança;Engenharia Eletrotécnica e de Computadores
3043;9119;Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança;Engenharia Informática
3043;9123;Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança;Engenharia Mecânica
3043;9125;Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança;Engenharia Química
3043;9147;Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança;Gestão
3043;9186;Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança;Informática de Gestão
3043;9910;Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança;Engenharia de Energias Renováveis
3043;9991;Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança;Gestão (regime pós-laboral)
3043;A004;Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança;Gestão de Negócios Internacionais (Curso Europeu, ensino em Inglês)
3043;L058;Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança;Tecnologia e Gestão Industrial
3043;L069;Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança;Tecnologia Biomédica
3045;8309;Instituto Politécnico de Bragança - Escola Superior de Comunicação, Administração e Turismo de Mirandela;Design de Jogos Digitais
3045;9165;Instituto Politécnico de Bragança - Escola Superior de Comunicação, Administração e Turismo de Mirandela;Gestão e Administração Pública
3045;9188;Instituto Politécnico de Bragança - Escola Superior de Comunicação, Administração e Turismo de Mirandela;Informática e Comunicações
3045;9205;Instituto Politécnico de Bragança - Escola Superior de Comunicação, Administração e Turismo de Mirandela;Marketing
3045;9213;Instituto Politécnico de Bragança - Escola Superior de Comunicação, Administração e Turismo de Mirandela;Multimédia
3045;9242;Instituto Politécnico de Bragança - Escola Superior de Comunicação, Administração e Turismo de Mirandela;Solicitadoria
3045;9254;Instituto Politécnico de Bragança - Escola Superior de Comunicação, Administração e Turismo de Mirandela;Turismo
3045;9662;Instituto Politécnico de Bragança - Escola Superior de Comunicação, Administração e Turismo de Mirandela;Comunicação e Jornalismo
3051;8397;Instituto Politécnico de Castelo Branco - Escola Superior Agrária de Castelo Branco;Engenharia de Proteção Civil
3051;9003;Instituto Politécnico de Castelo Branco - Escola Superior Agrária de Castelo Branco;Agronomia
3051;9085;Instituto Politécnico de Castelo Branco - Escola Superior Agrária de Castelo Branco;Enfermagem Veterinária
3051;L093;Instituto Politécnico de Castelo Branco - Escola Superior Agrária de Castelo Branco;Biotecnologia Alimentar
3052;9238;Instituto Politécnico de Castelo Branco - Escola Superior de Educação de Castelo Branco;Serviço Social
3052;9485;Instituto Politécnico de Castelo Branco - Escola Superior de Educação de Castelo Branco;Secretariado
3052;9850;Instituto Politécnico de Castelo Branco - Escola Superior de Educação de Castelo Branco;Desporto e Atividade Física
3052;9853;Instituto Politécnico de Castelo Branco - Escola Superior de Educação de Castelo Branco;Educação Básica
3053;8463;Instituto Politécnico de Castelo Branco - Escola Superior de Tecnologia de Castelo Branco;Engenharia das Energias Renováveis
3053;9089;Instituto Politécnico de Castelo Branco - Escola Superior de Tecnologia de Castelo Branco;Engenharia Civil
3053;9111;Instituto Politécnico de Castelo Branco - Escola Superior de Tecnologia de Castelo Branco;Engenharia Eletrotécnica e das Telecomunicações
3053;9118;Instituto Politécnico de Castelo Branco - Escola Superior de Tecnologia de Castelo Branco;Engenharia Industrial
3053;9119;Instituto Politécnico de Castelo Branco - Escola Superior de Tecnologia de Castelo Branco;Engenharia Informática
3053;9248;Instituto Politécnico de Castelo Branco - Escola Superior de Tecnologia de Castelo Branco;Tecnologias da Informação e Multimédia
3054;9147;Instituto Politécnico de Castelo Branco - Escola Superior de Gestão de Idanha-a-Nova;Gestão
3054;9173;Instituto Politécnico de Castelo Branco - Escola Superior de Gestão de Idanha-a-Nova;Gestão Hoteleira
3054;9177;Instituto Politécnico de Castelo Branco - Escola Superior de Gestão de Idanha-a-Nova;Gestão Turística
3054;9242;Instituto Politécnico de Castelo Branco - Escola Superior de Gestão de Idanha-a-Nova;Solicitadoria
3054;L021;Instituto Politécnico de Castelo Branco - Escola Superior de Gestão de Idanha-a-Nova;Gestão Comercial
3055;9725;Instituto Politécnico de Castelo Branco - Escola Superior de Artes Aplicadas;Design de Interiores e Equipamento
3055;9726;Instituto Politécnico de Castelo Branco - Escola Superior de Artes Aplicadas;Design de Moda e Têxtil
3055;L158;Instituto Politécnico de Castelo Branco - Escola Superior de Artes Aplicadas;Design de Comunicação e Audiovisual
3061;9016;Instituto Politécnico de Coimbra - Escola Superior Agrária de Coimbra;Biotecnologia
3061;9619;Instituto Politécnico de Coimbra - Escola Superior Agrária de Coimbra;Engenharia Agro-Pecuária
3061;9673;Instituto Politécnico de Coimbra - Escola Superior Agrária de Coimbra;Agricultura Biológica
3061;L009;Instituto Politécnico de Coimbra - Escola Superior Agrária de Coimbra;Ciências Florestais e Recursos Naturais
3061;L015;Instituto Politécnico de Coimbra - Escola Superior Agrária de Coimbra;Tecnologia Alimentar
3061;L024;Instituto Politécnico de Coimbra - Escola Superior Agrária de Coimbra;Tecnologia e Gestão Ambiental
3061;L178;Instituto Politécnico de Coimbra - Escola Superior Agrária de Coimbra;Turismo em Espaços Rurais e Naturais
3062;8093;Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra;Animação Socioeducativa (regime pós-laboral)
3062;8114;Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra;Turismo (regime pós-laboral)
3062;8342;Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra;Comunicação Organizacional (regime pós-laboral)
3062;9054;Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra;Comunicação Social
3062;9254;Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra;Turismo
3062;9668;Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra;Gerontologia Social
3062;9675;Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra;Animação Socioeducativa
3062;9717;Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra;Comunicação Organizacional
3062;9731;Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra;Desporto e Lazer
3062;9774;Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra;Língua Gestual Portuguesa
3062;9853;Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra;Educação Básica
3062;9894;Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra;Comunicação e Design Multimédia
3062;9898;Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra;Arte e Design
3062;L095;Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra;Gastronomia
3062;L163;Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra;Estudos Musicais Aplicados
3063;8519;Instituto Politécnico de Coimbra - Instituto Superior de Contabilidade e Administração de Coimbra;Secretariado de Direção e Administração
3063;9061;Instituto Politécnico de Coimbra - Instituto Superior de Contabilidade e Administração de Coimbra;Contabilidade e Auditoria
3063;9152;Instituto Politécnico de Coimbra - Instituto Superior de Contabilidade e Administração de Coimbra;Gestão de Empresas
3063;9186;Instituto Politécnico de Coimbra - Instituto Superior de Contabilidade e Administração de Coimbra;Informática de Gestão
3063;9722;Instituto Politécnico de Coimbra - Instituto Superior de Contabilidade e Administração de Coimbra;Contabilidade e Gestão Pública
3063;9801;Instituto Politécnico de Coimbra - Instituto Superior de Contabilidade e Administração de Coimbra;Solicitadoria e Administração
3063;L023;Instituto Politécnico de Coimbra - Instituto Superior de Contabilidade e Administração de Coimbra;Marketing e Negócios Internacionais
3063;L056;Instituto Politécnico de Coimbra - Instituto Superior de Contabilidade e Administração de Coimbra;Comércio e Relações Económicas Internacionais
3064;9089;Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra;Engenharia Civil
3064;9104;Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra;Engenharia e Gestão Industrial
3064;9105;Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra;Engenharia Eletromecânica
3064;9109;Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra;Engenharia Eletrotécnica
3064;9119;Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra;Engenharia Informática
3064;9123;Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra;Engenharia Mecânica
3064;9540;Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra;Bioengenharia
3064;9770;Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra;Engenharia Informática (Curso Europeu)
3064;9884;Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra;Engenharia Eletrotécnica (regime pós-laboral)
3064;9885;Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra;Engenharia Informática (regime pós-laboral)
3064;L133;Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra;Engenharia Biomédica - Bioeletrónica
3064;L155;Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra;Gestão Sustentável das Cidades
3065;8147;Instituto Politécnico de Coimbra - Escola Superior de Tecnologia e Gestão de Oliveira do Hospital;Sistemas e Tecnologias da Informação
3065;9058;Instituto Politécnico de Coimbra - Escola Superior de Tecnologia e Gestão de Oliveira do Hospital;Contabilidade e Administração
3065;9119;Instituto Politécnico de Coimbra - Escola Superior de Tecnologia e Gestão de Oliveira do Hospital;Engenharia Informática
3065;9147;Instituto Politécnico de Coimbra - Escola Superior de Tecnologia e Gestão de Oliveira do Hospital;Gestão
3065;9672;Instituto Politécnico de Coimbra - Escola Superior de Tecnologia e Gestão de Oliveira do Hospital;Administração e Marketing
3065;L018;Instituto Politécnico de Coimbra - Escola Superior de Tecnologia e Gestão de Oliveira do Hospital;Desenvolvimento Regional e Ordenamento do Território
3065;L146;Instituto Politécnico de Coimbra - Escola Superior de Tecnologia e Gestão de Oliveira do Hospital;Gestão de Bioindústrias
